Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,P_UZA_SM_avg,P_UZA_P_avg,SA_SM_avg,SA_P_avg,M_CB_Count,M_CR_Count,M_DR_Count,M_MB_Count,M_VP_Count,M_LR_Count,M_OTHER_Count,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,Safety Ratio
0,0,0,58064,61166,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,1,1,54890,60250,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3.6436509382401163
0,0,0,58524,60800,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,59565,58929,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,55108,55042,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,57681,61248,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58543,56239,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58531,59665,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,54581,57627,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,61600,65880,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,54498,55597,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58078,57161,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,54239,53472,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,57620,59069,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,59321,59999,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,59001,55189,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,57208,53920,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58963,55467,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,55202,52035,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,61476,56692,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,56503,51259,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,59140,57781,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,56900,58056,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,58880,56240,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
0,0,0,44939,45353,71.0,95779.0,17.0,75616.0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
