Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,P_UZA_SM_National,P_UZA_P_National,SA_SM_National,SA_P_National,M_CB,M_CR,M_DR,M_LR,M_MB,M_OTHER,M_VP,Safety Ratio
6,27,34,8436745,40852829,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,21975.0,64496091.0,0,0,0,1,0,0,0,0.7941451353572971
7,688,371,141933347,396561430,228.0,195,5,5,5,12,3,3,6,2,7,306.0,165,0,0,75729.0,201830491.0,120848.0,119366222.0,0,0,0,0,1,0,0,0.7510567618756994
0,0,1,369941,1710594,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.27031337429482
0,16,7,647014,4435835,7.0,1,0,0,0,1,0,0,0,0,0,8.0,1,0,0,9721.0,41891813.0,9222.0,27869423.0,0,0,0,0,0,1,0,3.554791704661723
0,10,6,463337,3779063,5.0,5,0,0,0,0,1,0,0,0,0,9.0,2,0,0,7832.0,23710948.0,3328.0,9021888.0,0,0,0,0,0,1,0,3.453210082510138
0,4,3,878112,7737823,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6537.0,10955025.0,0,0,0,0,0,1,0,0.7971648263547247
0,0,0,2708,163033,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,0,0,18977031,3163668,40.0,11,6,0,2,0,1,1,0,10,1,44.0,28,0,0,37796.0,118255916.0,58857.0,99308020.0,0,0,0,0,0,0,1,0.0
0,0,0,246146,617306,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,5078.0,22057306.0,0,0,0,0,0,1,0,0.0
0,7,5,10798103,8329044,54.0,23,1,3,1,1,0,17,0,1,1,51.0,51,0,0,32797.0,103677072.0,51997.0,54585998.0,1,0,0,0,0,0,0,0.11113063100064892
0,0,0,23690,767286,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,29326194,43295464,16.0,0,0,4,1,3,0,0,0,0,0,7.0,17,0,0,22263.0,83838050.0,26062.0,68059051.0,0,1,0,0,0,0,0,0.0
1,78,56,64076883,8553198,257.0,215,10,2,5,8,10,0,3,2,5,218.0,228,0,71,75297.0,200733364.0,125459.0,116420191.0,0,0,1,0,0,0,0,0.21068440548208314
10,44,57,57592685,331758896,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11795.0,44594199.0,0,0,0,0,0,1,0,0.19273280973095802
1,31,29,8865573,41501246,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,24630.0,61628105.0,0,0,0,1,0,0,0,0.688054793525472
5,672,382,146753847,402798707,226.0,192,5,5,5,10,3,3,8,4,7,304.0,164,0,0,75351.0,201275730.0,121308.0,119223036.0,0,0,0,0,1,0,0,0.7216165174872724
0,0,0,367903,1821527,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.0
0,9,9,679459,4421204,7.0,1,0,0,0,1,0,0,0,0,0,8.0,1,0,0,9721.0,41891813.0,9222.0,26802412.0,0,0,0,0,0,1,0,2.6491664692056474
0,9,7,472128,4191069,5.0,6,0,0,0,0,1,0,0,0,0,10.0,2,0,0,8185.0,24554116.0,3570.0,10094638.0,0,0,0,0,0,1,0,3.3889114816320993
0,9,6,897476,7935946,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6540.0,10319565.0,0,0,0,0,0,1,0,1.6713538857863608
0,0,0,2772,182376,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,3,1,19581171,3295578,41.0,11,6,1,2,0,1,1,0,10,1,44.0,30,0,0,39728.0,122572202.0,80204.0,104263386.0,0,0,0,0,0,0,1,0.020427787490339574
0,0,0,253753,634065,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,6954.0,14318783.0,0,0,0,0,0,1,0,0.0
0,3,1,10437068,7939743,54.0,23,1,3,1,1,0,17,0,1,1,51.0,51,0,0,32797.0,103677072.0,51997.0,54585998.0,1,0,0,0,0,0,0,0.03832493953282665
0,0,0,25129,787976,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,28990519,41154291,16.0,0,0,4,1,3,0,0,0,0,0,7.0,17,0,0,22263.0,83838050.0,26062.0,68059051.0,0,1,0,0,0,0,0,0.0
0,82,54,62878062,8381450,257.0,215,10,2,5,8,10,0,3,2,5,218.0,228,0,71,75297.0,200733364.0,125459.0,116420191.0,0,0,1,0,0,0,0,0.21629165351820165
6,47,56,57280729,332120304,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11795.0,44594199.0,0,0,0,0,0,1,0,0.19029087426593333
4,52,44,8835019,41724589,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,24630.0,61628105.0,0,0,0,1,0,0,0,1.131859478740227
6,686,375,145918124,406511871,226.0,192,5,5,5,10,3,3,8,4,7,304.0,164,0,0,75351.0,201275730.0,121308.0,119223036.0,0,0,0,0,1,0,0,0.7312319887007319
0,0,0,430114,2026542,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.0
0,14,8,673594,4402241,8.0,1,0,0,0,1,0,0,0,0,0,9.0,1,0,0,10002.0,42461748.0,9407.0,27285152.0,0,0,0,0,0,1,0,3.2660623461610405
0,12,6,431395,4084962,5.0,6,0,0,0,0,1,0,0,0,0,10.0,2,0,0,8185.0,24554116.0,3570.0,10094638.0,0,0,0,0,0,1,0,4.17251011254187
0,11,10,895045,7893247,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6540.0,10319565.0,0,0,0,0,0,1,0,2.3462507471691367
0,0,0,2750,183014,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,0,0,18821504,3077743,41.0,11,6,1,2,0,1,1,0,10,1,44.0,30,0,0,39728.0,122572202.0,80204.0,104263386.0,0,0,0,0,0,0,1,0.0
1,0,1,258991,641418,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,6954.0,14318783.0,0,0,0,0,0,1,0,0.7722276063646999
0,5,2,10275632,8149790,54.0,23,1,3,1,1,0,17,0,1,1,51.0,51,0,0,32797.0,103677072.0,51997.0,54585998.0,1,0,0,0,0,0,0,0.0681223305778175
0,0,0,20697,665929,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,28303083,41500589,16.0,0,0,4,1,3,0,0,0,0,0,7.0,17,0,0,22263.0,83838050.0,26062.0,68059051.0,0,1,0,0,0,0,0,0.0
0,85,56,64268159,8591550,257.0,215,9,2,5,8,10,0,3,2,5,217.0,228,0,71,75268.0,200669681.0,125087.0,116400843.0,0,0,1,0,0,0,0,0.21939324572841737
8,35,43,55794744,340144036,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11795.0,44594199.0,0,0,0,0,0,1,0,0.15413638245208186
5,38,34,8727320,42450378,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,24630.0,61628105.0,0,0,0,1,0,0,0,0.882286887612692
11,696,374,145025416,441250583,226.0,192,4,5,5,10,3,3,8,4,7,303.0,164,0,0,75322.0,201212047.0,121302.0,119224333.0,0,0,0,0,1,0,0,0.7453865879619335
0,0,0,472398,1995080,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.0
0,19,11,685883,4682434,8.0,1,0,0,0,1,0,0,0,0,0,9.0,1,0,0,10002.0,42461748.0,9407.0,27285152.0,0,0,0,0,0,1,0,4.373923832490381
0,3,4,493104,4339985,5.0,6,0,0,0,0,1,0,0,0,0,10.0,2,0,0,8185.0,24554116.0,3570.0,10094638.0,0,0,0,0,0,1,0,1.4195788312404685
0,5,3,877606,8098595,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6540.0,10319565.0,0,0,0,0,0,1,0,0.9115707960064083
0,0,0,2576,150229,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,1,1,19130284,3171041,40.0,11,6,1,2,0,1,1,0,10,1,43.0,30,0,0,39212.0,121647343.0,75295.0,100555386.0,0,0,0,0,0,0,1,0.010454627856021375
0,0,0,259338,695686,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,6954.0,14318783.0,0,0,0,0,0,1,0,0.0
0,3,4,11030140,8792379,54.0,26,1,3,1,1,0,17,0,1,1,51.0,54,0,0,35815.0,114301343.0,52446.0,57804125.0,1,0,0,0,0,0,0,0.0634624764508882
0,0,0,23475,648898,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,29770908,43969692,16.0,0,0,4,1,3,0,0,0,0,0,7.0,17,0,0,22263.0,83838050.0,26062.0,68078501.0,0,1,0,0,0,0,0,0.0
0,69,49,68834632,9241282,259.0,216,9,2,6,8,10,0,3,2,5,218.0,231,0,71,75443.0,200741903.0,144310.0,117873909.0,0,0,1,0,0,0,0,0.17142533717620514
9,47,57,58954982,360235509,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11795.0,44594199.0,0,0,0,0,0,1,0,0.1916716724635757
3,41,31,9153923,44886407,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,24648.0,61992555.0,0,0,0,1,0,0,0,0.8193208529283019
10,819,431,154135749,468726055,226.0,192,4,6,5,10,3,3,8,4,6,301.0,166,0,0,75241.0,201015396.0,137156.0,119598345.0,0,0,0,0,1,0,0,0.817461236718031
0,0,0,471638,2099773,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1482.0,5931063.0,0,0,0,0,0,1,0,0.0
0,6,3,729144,5141649,8.0,1,0,0,0,1,0,0,0,0,0,9.0,1,0,0,10002.0,42461748.0,9409.0,27331068.0,0,0,0,0,0,1,0,1.2343240841315295
0,10,4,525064,4929772,5.0,6,0,0,0,0,1,0,0,0,0,10.0,2,0,0,8185.0,24554116.0,3570.0,10094638.0,0,0,0,0,0,1,0,2.6663416269254796
0,4,3,918382,8574049,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6540.0,10319565.0,0,0,0,0,0,1,0,0.7622100607372532
0,0,0,2801,165393,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,1,1,20179907,3344053,40.0,11,6,1,2,0,1,1,0,10,1,43.0,30,0,0,39212.0,121647343.0,75338.0,101052295.0,0,0,0,0,0,0,1,0.009910848449400683
0,0,0,273935,722206,4.0,0,0,0,1,0,0,0,0,0,0,0.0,5,0,0,5374.0,24886529.0,6954.0,14401992.0,0,0,0,0,0,1,0,0.0
0,12,11,9524563,7104756,54.0,26,1,3,1,1,0,17,0,1,1,51.0,54,0,0,35815.0,114301343.0,52446.0,57804125.0,1,0,0,0,0,0,0,0.24148089523897318
